,activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,dcpp_init_year,version,time_range,path
0,AerChemMIP,NIMS-KMA,UKESM1-0-LL,ssp370-lowNTCF,r1i1p1f2,day,rsds,gn,,v20201020,20150101-20491230,/glade/collections/cmip/CMIP6/AerChemMIP/NIMS-KMA/UKESM1-0-LL/ssp370-lowNTCF/r1i1p1f2/day/rsds/gn/v20201020/rsds/rsds_day_UKESM1-0-LL_ssp370-lowNTCF_r1i1p1f2_gn_20150101-20491230.nc
1,AerChemMIP,NIMS-KMA,UKESM1-0-LL,ssp370-lowNTCF,r1i1p1f2,day,rsds,gn,,v20201020,20500101-20551230,/glade/collections/cmip/CMIP6/AerChemMIP/NIMS-KMA/UKESM1-0-LL/ssp370-lowNTCF/r1i1p1f2/day/rsds/gn/v20201020/rsds/rsds_day_UKESM1-0-LL_ssp370-lowNTCF_r1i1p1f2_gn_20500101-20551230.nc
2,AerChemMIP,NIMS-KMA,UKESM1-0-LL,ssp370-lowNTCF,r1i1p1f2,day,tasmax,gn,,v20201020,20150101-20491230,/glade/collections/cmip/CMIP6/AerChemMIP/NIMS-KMA/UKESM1-0-LL/ssp370-lowNTCF/r1i1p1f2/day/tasmax/gn/v20201020/tasmax/tasmax_day_UKESM1-0-LL_ssp370-lowNTCF_r1i1p1f2_gn_20150101-20491230.nc
3,AerChemMIP,NIMS-KMA,UKESM1-0-LL,ssp370-lowNTCF,r1i1p1f2,day,tasmax,gn,,v20201020,20500101-20551230,/glade/collections/cmip/CMIP6/AerChemMIP/NIMS-KMA/UKESM1-0-LL/ssp370-lowNTCF/r1i1p1f2/day/tasmax/gn/v20201020/tasmax/tasmax_day_UKESM1-0-LL_ssp370-lowNTCF_r1i1p1f2_gn_20500101-20551230.nc
4,AerChemMIP,NIMS-KMA,UKESM1-0-LL,ssp370-lowNTCF,r2i1p1f2,day,rsds,gn,,v20201023,20150101-20491230,/glade/collections/cmip/CMIP6/AerChemMIP/NIMS-KMA/UKESM1-0-LL/ssp370-lowNTCF/r2i1p1f2/day/rsds/gn/v20201023/rsds/rsds_day_UKESM1-0-LL_ssp370-lowNTCF_r2i1p1f2_gn_20150101-20491230.nc
5,AerChemMIP,NIMS-KMA,UKESM1-0-LL,ssp370-lowNTCF,r2i1p1f2,day,rsds,gn,,v20201023,20500101-20551230,/glade/collections/cmip/CMIP6/AerChemMIP/NIMS-KMA/UKESM1-0-LL/ssp370-lowNTCF/r2i1p1f2/day/rsds/gn/v20201023/rsds/rsds_day_UKESM1-0-LL_ssp370-lowNTCF_r2i1p1f2_gn_20500101-20551230.nc
6,AerChemMIP,NIMS-KMA,UKESM1-0-LL,ssp370-lowNTCF,r2i1p1f2,day,tasmax,gn,,v20201023,20150101-20491230,/glade/collections/cmip/CMIP6/AerChemMIP/NIMS-KMA/UKESM1-0-LL/ssp370-lowNTCF/r2i1p1f2/day/tasmax/gn/v20201023/tasmax/tasmax_day_UKESM1-0-LL_ssp370-lowNTCF_r2i1p1f2_gn_20150101-20491230.nc
7,AerChemMIP,NIMS-KMA,UKESM1-0-LL,ssp370-lowNTCF,r2i1p1f2,day,tasmax,gn,,v20201023,20500101-20551230,/glade/collections/cmip/CMIP6/AerChemMIP/NIMS-KMA/UKESM1-0-LL/ssp370-lowNTCF/r2i1p1f2/day/tasmax/gn/v20201023/tasmax/tasmax_day_UKESM1-0-LL_ssp370-lowNTCF_r2i1p1f2_gn_20500101-20551230.nc
8,AerChemMIP,NIMS-KMA,UKESM1-0-LL,ssp370-lowNTCF,r3i1p1f2,day,rsds,gn,,v20210511,20150101-20491230,/glade/collections/cmip/CMIP6/AerChemMIP/NIMS-KMA/UKESM1-0-LL/ssp370-lowNTCF/r3i1p1f2/day/rsds/gn/v20210511/rsds/rsds_day_UKESM1-0-LL_ssp370-lowNTCF_r3i1p1f2_gn_20150101-20491230.nc
9,AerChemMIP,NIMS-KMA,UKESM1-0-LL,ssp370-lowNTCF,r3i1p1f2,day,rsds,gn,,v20210511,20500101-20551230,/glade/collections/cmip/CMIP6/AerChemMIP/NIMS-KMA/UKESM1-0-LL/ssp370-lowNTCF/r3i1p1f2/day/rsds/gn/v20210511/rsds/rsds_day_UKESM1-0-LL_ssp370-lowNTCF_r3i1p1f2_gn_20500101-20551230.nc
